11614,ASL 102,BEGINNING AMERICAN SIGN LANGUAGE II,4,MW,1230,1345,LCHAS,148,15,NICKELS P,
11623,ASL 102,BEGINNING AMERICAN SIGN LANGUAGE II,4,TR,940,1055,LCHAS,104,15,NICKELS P,
11637,ASL 102,BEGINNING AMERICAN SIGN LANGUAGE II,4,TR,1105,1220,LCHAS,104,15,NICKELS P,
11646,ASL 102,BEGINNING AMERICAN SIGN LANGUAGE II,4,TR,1400,1515,LCHAS,104,15,NICKELS P,
11609,ASL 105,INTERMEDIATE AMERICAN SIGN LANGUAGE I,4,MW,1400,1515,LCHAS,163,15,NICKELS P,
11658,ASL 105,INTERMEDIATE AMERICAN SIGN LANGUAGE I,4,MW,900,1015,LCHAS,148,15,NICKELS P,
11660,ASL 105,INTERMEDIATE AMERICAN SIGN LANGUAGE I,4,TR,1230,1345,LATT,110,15,TOURANGEAU N,
11671,ASL 106,INTERMEDIATE AMERICAN SIGN LANGUAGE II,4,MW,1230,1345,LCHAS,181,15,CHASTEL G,
11685,ASL 106,INTERMEDIATE AMERICAN SIGN LANGUAGE II,4,TR,1230,1345,LCHAS,160,16,BROETZ M,
11692,ASL 110,COMPARATIVE STUDY OF FRENCH SIGN LANGUAGE,4,TR,1400,1515,LATT,110,15,CHASTEL G,
11701,ASL 200,SIGNED LANGUAGE STRUCTURE,4,MW,1230,1345,MEL,366,No Cap,TOURANGEAU N,
11716,ASL 205,ART OF TRANSLATION ASL & ENGLISH,4,TR,1525,1640,LATT,110,15,CLARK P,
11727,ASL 208,LANGUAGE DEVELOPMENT,4,TR,1230,1345,MEL,221,No Cap,KURUMADA C,
11738,ASL 209,TEACHING ASL AS A 2ND LANGUAGE,4,MW,1400,1515,LATT,110,15,CHASTEL G,
11752,ASL 222,ASL FINE ART,4,TR,1105,1220,LATT,110,16,CHASTEL G,
11769,ASL 250,SOCIO-LINGUISTICS OF DEAF COMMUNITY,4,TR,940,1055,LATT,110,15,TOURANGEAU N,
11774,ASL 391,INDEPENDENT STUDY,0,TBA,,,,,No Cap,,
11795,ASL 394,INTERNSHIP,0,TBA,,,,,No Cap,,
45181,AME 191,ART AND TECH OF RECORDING,4,MW,1400,1515,CSB,412,18,ROESSNER S,
83878,AME 191,ART AND TECH OF RECORDING,4,TR,1400,1515,CSB,412,16,ROESSNER S,
45194,AME 191,ART & TECH OF RECORDING-LAB,LAB,T,1900,2100,CSB,412,18,ROESSNER S,
83733,AME 191,ART & TECH OF RECORDING-LAB,LAB,T,900,1000,CSB,412,16,ROESSNER S,
45209,AME 192,LISTENING AND AUDIO PROD,4,MW,1230,1345,RETT,303,No Cap,ROESSNER S,
83899,AME 192,LISTENING AND AUDIO PROD,4,TR,1230,1345,RETT,303,No Cap,ROESSNER S,
45214,AME 193,SOUND DESIGN,4,TR,1650,1805,CSB,423,16,LAVAQUE R,
45223,AME 193,SOUND DESIGN,4,TR,1525,1640,CSB,423,16,LAVAQUE R,
45237,AME 194,AUDIO FOR VISUAL MEDIA,4,TR,1815,1930,CSB,423,No Cap,LAVAQUE R,
45246,AME 223,AUDIO ELECTRONICS,4,TR,1400,1515,CSB,523,No Cap,IGNJATOVIC Z,
45258,AME 223,AUDIO ELECTRONICS LAB,LAB,W,900,1200,HOPE,202,12,IGNJATOVIC Z,
82249,AME 233,MUSICAL ACOUSTICS,4,TR,1525,1640,HARK,210,No Cap,MOTTLEY J,
45260,AME 240,Revolutions in Sound: Artistic and Technical Evolution of Sound Recording,4,MW,1230,1345,CSB,423,16,LEE M,
45271,AME 264,AUDIO SOFTWARE DESIGN II,4,TR,1230,1345,CSB,423,No Cap,LEE M,
45285,AME 272,AUDIO SIGNAL PROCESSING,4,TR,900,1015,CSB,423,No Cap,DUAN Z,
45292,AME 292,ACOUSTICS PORTFOLIO,2,MWF,800,850,HOPE,335,15,BOCKO M,
45305,AME 294,AUDIO DSP,2,R,1525,1805,HOPE,226,No Cap,BOCKO M,
45318,AME 295,AUDIO ELECTRONICS PORTFOLIO,2,MWF,900,950,HOPE,335,15,BOCKO M,
45320,AME 387,SENIOR DESIGN PROJECT II,4,MW,800,850,HOPE,226,15,BOCKO M,
45336,AME 391,INDEPENDENT STUDY,0,TBA,,,,,No Cap,,
45363,AME 472,AUDIO SIGNAL PROCESSING,4,TR,900,1015,CSB,423,No Cap,DUAN Z,
11803,AST 102,"RELATIVITY, BLACK HOLES AND THE BIG BANG",4,TR,1400,1515,B&L,106,140,WOLFS F,
11812,AST 102,BLACK HOLES - REC,REC,T,1525,1640,LATT,413,15,WOLFS F,
11829,AST 102,BLACK HOLES - REC,REC,M,1400,1515,MEL,209,15,WOLFS F,
11830,AST 102,BLACK HOLES - REC,REC,R,1650,1805,GAVET,310,15,WOLFS F,
11848,AST 102,BLACK HOLES - REC,REC,F,1525,1640,B&L,270,15,WOLFS F,
11867,AST 142,ELEMENTARY ASTROPHYSICS,4,TR,1105,1220,B&L,407,40,MAMAJEK E,
11875,AST 142,ELEMENTARY ASTROPHYSICS REC,REC,F,1400,1640,B&L,203H,30,MAMAJEK E,
11881,AST 242,ASTROPHYSICS II,4,TR,1105,1220,B&L,480,25,BLACKMAN E,
11894,AST 390,SUPERVISED TEACHING,0,TBA,,,,,No Cap,,
11900,AST 391,INDEPENDENT STUDY,0,TBA,,,,,No Cap,,
11911,AST 391W,INDEPENDENT STUDY,0,TBA,,,,,No Cap,,
11925,AST 393,SENIOR PROJECT,0,TBA,,,,,No Cap,,
11933,AST 393W,SENIOR THESIS,0,TBA,,,,,No Cap,,
11944,AST 395,SPECIAL TOPICS,0,TBA,,,,,No Cap,,
78802,AST 461,PHYSICS OF ASTROPHYSICS I,4,MW,1230,1345,MEL,206,No Cap,FRANK A,
11966,AST 591,PHD READINGS IN ASTROPHYSICS,0,TBA,,,,,No Cap,,
11979,AST 595,PHD RESEARCH IN ASTROPHYSICS,0,TBA,,,,,No Cap,,
12001,AST 595A,PHD RESEARCH IN ABSENTIA,0,TBA,,,,,No Cap,,
12016,AST 895,CONT OF MASTERS ENROLLMENT,0,TBA,,,,,No Cap,,
12027,AST 899,MASTER'S DISSERTATION,0,TBA,,,,,No Cap,,
12038,AST 985,LEAVE OF ABSENCE,0,TBA,,,,,No Cap,,
12040,AST 995,CONT OF DOCTORAL ENROLLMENT,0,TBA,,,,,No Cap,,
12052,AST 997,DOCTORAL DISSERTATION,0,TBA,,,,,No Cap,,
12069,AST 999,DOCTORAL DISSERTATION,0,TBA,,,,,No Cap,,
12100,AST 999A,DOCT DISSERTATN IN ABSENTIA,0,TBA,,,,,No Cap,,
12111,BCS 110,NEURAL FOUNDATIONS OF BEHAVIOR,4,TR,1105,1220,HOYT,AUD,No Cap,DAVIS K,
12125,BCS 110,NEURAL FOUNDATNS OF BEHV REC,REC,F,1650,1805,DEWEY,2110D,No Cap,DAVIS K,
12133,BCS 110,NEURAL FOUNDATNS BEHAV -REC,REC,M,1650,1805,HYLAN,201,No Cap,DAVIS K,
12144,BCS 110,NEURAL FOUNDATNS BEHAV-REC,REC,R,1650,1805,HYLAN,101,No Cap,DAVIS K,
12157,BCS 111,FOUNDATIONS OF COGNITIVE SCIENCE,4,TR,1650,1805,HOYT,AUD,No Cap,BIBYK S,
12182,BCS 153,COGNITION,4,TR,1525,1640,MOREY,321,No Cap,PIANTADOSI S,
12198,BCS 172,DEVELOPMENT OF MIND & BRAIN,4,TR,1230,1345,HUTCH,140,No Cap,ASLIN R; KIDD C,
12205,BCS 203,LAB IN NEUROBIOLOGY,4,W,1230,1640,MEL,111,No Cap,KORNACK D,
12218,BCS 203,LAB IN NEUROBIOLOGY,4,R,1230,1640,MEL,111,No Cap,NORDEEN K,
12220,BCS 203,LAB IN NEUROBIOLOGY,4,T,1230,1640,MEL,111,No Cap,NORDEEN K,
76471,BCS 207,ADVANCED UNDERGRADUATE RESEARCH IN COGNITIVE SCIENCE,4,MW,900,1015,MEL,301B,20,HAEFNER R; JAEGER F,
12247,BCS 208,LAB IN PERCEPTION & COGNITION,4,T,1530,1830,MEL,178,No Cap,DAVIS K,
83635,BCS 208,LAB IN PERCEPTION & COGNITION,4,F,1400,1640,MEL,178,No Cap,MELNICK M,
12254,BCS 221,AUDITORY PERCEPTION,4,MW,1025,1140,HUTCH,473,No Cap,DAVIS K,
